year,hom_rate,gun_hom_rate,disadvantage_spline,incarcerated
1980,28.525105473779153,18.406514967327738,2.278340292329286,11899
1981,29.804666906763636,18.500618979710914,2.3110515841671946,14328
1982,22.988191835418636,13.116385731920543,2.329333457116894,14293
1983,25.580890838531456,14.942599710058728,2.3340866094283648,15595
1984,26.109213500829586,15.601847091959144,2.326211739351587,17114
1985,23.756412535514038,13.519039566005736,2.3066095451365407,18634
1986,26.86945731706059,14.923490312279315,2.2761807250332065,19456
1987,24.65592533267206,13.35379313638151,2.235825977291564,19850
1988,23.820992214224308,14.090783594193198,2.1864460001615935,21081
1989,27.009646715386413,15.737620819498483,2.1289414918932748,24712
1990,30.46679753429459,21.44891288676164,2.064213150736589,27516
1991,32.750305758984354,22.656768902117044,1.9932653480575797,29115
1992,33.59061574807609,23.29614284118957,1.917517147686551,31640
1993,30.608958591618883,22.637875625051464,1.8384912865698702,34495
1994,32.82924348899988,24.340136535299266,1.7577105016539054,36531
1995,28.756861639287113,21.121056721668854,1.6766975298850242,37658
1996,27.702571181687738,20.837908888867005,1.5969751082095944,38852
1997,26.26392670687419,19.60253446417955,1.520065973573984,40788
1998,24.52053583829473,18.606556108607286,1.4474928629245607,43051
1999,22.06307549560912,15.8135971470876,1.3807785132076924,44660
2000,21.964397797992714,16.231551831849963,1.3214456613697467,45281
2001,23.227631505983926,17.965932565731237,1.2704986787767687,44348
2002,22.631752217119892,17.869002518586214,1.2268684744735106,42693
2003,21.08666048129504,16.890310136758714,1.1889675919244018,43418
2004,15.92008058723852,11.904839023200486,1.155208574593872,44054
2005,15.695368262720747,11.789281138514227,1.1240039659463508,44919
2006,16.873244292300004,13.649057484854145,1.093766309446267,45106
2007,16.19667235286616,11.858277972634152,1.0629081485580505,45215
2008,18.826070946113873,15.031669049997898,1.0298420267461308,45474
2009,16.856784895615025,13.801952698374748,0.9929804874749371,45161
2010,16.250224734134314,13.13374327827294,0.9507360742088988,48418
2011,16.474892001840974,13.822471747576328,0.9016250035285103,48427
2012,19.083417741318755,16.37868136853342,0.8445781844785238,49348
2013,15.99094932255417,13.2755050979695,0.7786301992197565,48653
2014,15.987164434486399,13.719481535977689,0.7028156299130256,48278
2015,18.63416202280734,16.328515200512722,0.6161690587191482,46240
2016,29.34209620675846,26.211769747682688,0.5177250677989412,43657
2017,24.813778450372887,22.6740123812787,0.406518239313222,41427
2018,21.57768603821141,17.925504290811208,0.28158315542280754,39965
2019,18.446788603388864,16.454535434222866,0.141954398288515,38259
2020,28.04160524313696,25.346697726264054,-0.013333449928838503,29729
2021,28.7631061284789,26.82159646480657,-0.16862129814614946,28277
